Names,Change,% Change
Bitcoin USD,+41.91,+0.09%
Ethereum USD,+72.70,+2.16%
Tether USD,+0.0003,+0.03%
Binance Coin USD,+6.81,+1.57%
USD Coin USD,+0.000035,+0.00%
Solana USD,+7.28,+5.80%
XRP USD,+0.002257,+0.27%
Cardano USD,-0.0091,-0.78%
Terra USD,+1.40,+1.33%
HEX USD,-0.002304,-1.49%
Avalanche USD,-0.96,-0.98%
Polkadot USD,+0.13,+0.59%
Dogecoin USD,-0.001321,-0.94%
Binance USD USD,+0.0014,+0.14%
TerraUSD USD,+0.0006,+0.06%
SHIBA INU USD,-0.000000,-1.74%
Polygon USD,+0.0137,+0.82%
Wrapped Bitcoin USD,-175.66,-0.38%
Crypto.com Coin USD,+0.006147,+1.30%
Dai USD,+0.0004,+0.04%
NEAR Protocol USD,+0.24,+1.79%
Litecoin USD,+0.70,+0.56%
Cosmos USD,-0.39,-1.32%
Uniswap USD,+0.27,+2.35%
Chainlink USD,+0.04,+0.26%
Bitcoin USD,+41.91,+0.09%
Ethereum USD,+72.70,+2.16%
Tether USD,+0.0003,+0.03%
Binance Coin USD,+6.81,+1.57%
USD Coin USD,+0.000035,+0.00%
Solana USD,+7.28,+5.80%
XRP USD,+0.002257,+0.27%
Cardano USD,-0.0091,-0.78%
Terra USD,+1.40,+1.33%
HEX USD,-0.002304,-1.49%
Avalanche USD,-0.96,-0.98%
Polkadot USD,+0.13,+0.59%
Dogecoin USD,-0.001321,-0.94%
Binance USD USD,+0.0014,+0.14%
TerraUSD USD,+0.0006,+0.06%
SHIBA INU USD,-0.000000,-1.74%
Polygon USD,+0.0137,+0.82%
Wrapped Bitcoin USD,-175.66,-0.38%
Crypto.com Coin USD,+0.006147,+1.30%
Dai USD,+0.0004,+0.04%
NEAR Protocol USD,+0.24,+1.79%
Litecoin USD,+0.70,+0.56%
Cosmos USD,-0.39,-1.32%
Uniswap USD,+0.27,+2.35%
Chainlink USD,+0.04,+0.26%
